Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 2,Koorts,Fever,,,,,,,,,,,
Chapter 2,Manier,Way,,,,,,,,,,,
Chapter 2,Nadenken,Think Reflect,,,,,,,,,,,
Chapter 2,omgeving,environment/surroundings,,,,,,,,,,,
Chapter 2,Onderzoeken,Investigate,,,,,,,,,,,
Chapter 2,Slagen,To pass To succeed,,,,,,,,,,,
Chapter 2,Taken,Tasks,,,,,,,,,,,
Chapter 2,verdrietig,Sorrowful,,,,,,,,,,,
Chapter 2,Voorbereiden,Prepare,,,,,,,,,,,
